,Season,TeamID,Season_ELO
0,2014,1101,1330.4269543685778
1,2015,1101,1215.4751430657495
2,2016,1101,1222.1732731277689
3,2017,1101,1238.5376553325066
4,2018,1101,1295.4189215612535
5,1985,1102,1410.2542968835894
6,1986,1102,1345.316473469112
7,1987,1102,1362.4116573887054
8,1988,1102,1312.2255290559797
9,1989,1102,1384.3249206983085
10,1990,1102,1392.9898159893542
11,1991,1102,1340.7123280991912
12,1992,1102,1300.731742592198
13,1993,1102,1299.6076386587013
14,1994,1102,1277.8660236726244
15,1995,1102,1300.59758248641
16,1996,1102,1250.8351537658098
17,1997,1102,1275.329631040717
18,1998,1102,1299.8636321727738
19,1999,1102,1340.5380712917447
20,2000,1102,1321.3490129221393
21,2001,1102,1330.370861990985
22,2002,1102,1365.8040808182122
23,2003,1102,1445.178904471682
24,2004,1102,1642.233703275714
25,2005,1102,1681.0148903805402
26,2006,1102,1741.195401310736
27,2007,1102,1795.906593116008
28,2008,1102,1669.61939045476
29,2009,1102,1499.2835893705926
30,2010,1102,1422.507654138491
31,2011,1102,1503.5748086087679
32,2012,1102,1484.2946912617087
33,2013,1102,1565.609541279214
34,2014,1102,1474.314446356741
35,2015,1102,1497.9460515575615
36,2016,1102,1452.4034141598593
37,2017,1102,1434.205356135776
38,2018,1102,1412.7326598746445
39,1985,1103,1447.0783479642243
40,1986,1103,1533.543773962513
41,1987,1103,1569.665476418455
42,1988,1103,1612.4480617236454
43,1989,1103,1660.801289790167
44,1990,1103,1571.3600303427834
45,1991,1103,1498.0187433068793
46,1992,1103,1467.2584140071256
47,1993,1103,1376.567836516893
48,1994,1103,1326.3422233836343
49,1995,1103,1309.658568956286
50,1996,1103,1249.0494951434098
51,1997,1103,1334.8401059664186
52,1998,1103,1514.463557062407
53,1999,1103,1591.5183390904738
54,2000,1103,1595.2561057429505
55,2001,1103,1522.8959120753348
56,2002,1103,1430.229017772286
57,2003,1103,1488.830609092145
58,2004,1103,1492.7052171056027
59,2005,1103,1593.402213055824
60,2006,1103,1674.5445864632532
61,2007,1103,1759.9620697049832
62,2008,1103,1717.335555597666
63,2009,1103,1694.8761495647686
64,2010,1103,1674.4461039076602
65,2011,1103,1658.2728170746202
66,2012,1103,1690.7198949403642
67,2013,1103,1755.6235378108522
68,2014,1103,1661.248704966676
69,2015,1103,1623.981510112945
70,2016,1103,1673.0831009764818
71,2017,1103,1684.5081790582324
72,2018,1103,1504.9123796975784
73,1985,1104,1622.1813159124647
74,1986,1104,1701.3739460391898
75,1987,1104,1812.2237902395498
76,1988,1104,1628.4515225485798
77,1989,1104,1718.0256295096647
78,1990,1104,1776.8728673016544
79,1991,1104,1789.6864335926389
80,1992,1104,1778.9552573223248
81,1993,1104,1734.4505368116693
82,1994,1104,1731.342386551696
83,1995,1104,1786.7042402087031
84,1996,1104,1707.6890496666554
85,1997,1104,1681.9179117665353
86,1998,1104,1649.3215336974513
87,1999,1104,1650.6771379483353
88,2000,1104,1615.8304353433412
89,2001,1104,1722.9921711906027
90,2002,1104,1819.5277183044957
91,2003,1104,1800.8558693713512
92,2004,1104,1820.3228851712943
93,2005,1104,1895.5209012111889
94,2006,1104,1824.2411299620403
95,2007,1104,1772.99974849054
96,2008,1104,1743.1479029531383
97,2009,1104,1735.8894874766931
98,2010,1104,1734.7821894094957
99,2011,1104,1774.678690614601
100,2012,1104,1819.8933368919538
101,2013,1104,1809.509792245133
102,2014,1104,1715.4966780158204
103,2015,1104,1735.0397837881221
104,2016,1104,1740.4384433747866
105,2017,1104,1762.1785525099083
106,2018,1104,1784.5460808380053
107,2000,1105,1468.3885213579213
